transaction_id,award_id,modification_number,action_date,action_type_code,action_obligation
CONT_AWD_FA877317F00A5_9700_FA877317D0003_9700:P00009,CONT_AWD_FA877317F00A5_9700_FA877317D0003_9700,P00009,2019-04-26,G,32010.0
CONT_AWD_FA877317F0207_9700_FA877112D1009_9700:P00006,CONT_AWD_FA877317F0207_9700_FA877112D1009_9700,P00006,2022-02-14,K,-33487.61
CONT_AWD_FA877323C0005_9700_-NONE-_-NONE-:P00003,CONT_AWD_FA877323C0005_9700_-NONE-_-NONE-,P00003,2025-02-13,K,-67089.14
CONT_AWD_FA877323F0015_9700_FA877318D0002_9700:P00004,CONT_AWD_FA877323F0015_9700_FA877318D0002_9700,P00004,2024-08-22,M,-373247.46
CONT_AWD_FA881913F0002_9700_GS35F0268R_4730:A00002,CONT_AWD_FA881913F0002_9700_GS35F0268R_4730,A00002,2019-09-04,C,-166303.26
CONT_AWD_FA881921C1000_9700_-NONE-_-NONE-:0,CONT_AWD_FA881921C1000_9700_-NONE-_-NONE-,0,2020-11-05,,382527.0
CONT_AWD_FA881921C1000_9700_-NONE-_-NONE-:ARZ997,CONT_AWD_FA881921C1000_9700_-NONE-_-NONE-,ARZ997,2024-07-31,J,0.0
CONT_AWD_FA881922C1002_9700_-NONE-_-NONE-:0,CONT_AWD_FA881922C1002_9700_-NONE-_-NONE-,0,2022-09-30,,135198.0
CONT_AWD_FA881922C1002_9700_-NONE-_-NONE-:P00005,CONT_AWD_FA881922C1002_9700_-NONE-_-NONE-,P00005,2024-05-13,B,0.0
CONT_AWD_FA930123P0030_9700_-NONE-_-NONE-:P00001,CONT_AWD_FA930123P0030_9700_-NONE-_-NONE-,P00001,2023-07-26,B,-493035.48
CONT_AWD_FG03_9700_N0017805D4463_9700:1B,CONT_AWD_FG03_9700_N0017805D4463_9700,1B,2020-06-01,M,-676684.36
CONT_AWD_FK01_9700_N0017804D4045_9700:7,CONT_AWD_FK01_9700_N0017804D4045_9700,7,2020-12-23,G,-397432.74
CONT_AWD_H9222217F0192_9700_GS06F0646Z_4730:P00024,CONT_AWD_H9222217F0192_9700_GS06F0646Z_4730,P00024,2018-10-31,C,-285827.63
CONT_AWD_H9222218F0003_9700_GS06F0711Z_4732:P00002,CONT_AWD_H9222218F0003_9700_GS06F0711Z_4732,P00002,2018-11-29,G,209203.23
CONT_AWD_H9222218F0003_9700_GS06F0711Z_4732:P00009,CONT_AWD_H9222218F0003_9700_GS06F0711Z_4732,P00009,2022-11-30,C,31316.9
CONT_AWD_H9224021F0557_9700_W52P1J18DA010_9700:0,CONT_AWD_H9224021F0557_9700_W52P1J18DA010_9700,0,2021-09-30,,188733.2
CONT_AWD_H9224021F0557_9700_W52P1J18DA010_9700:P00018,CONT_AWD_H9224021F0557_9700_W52P1J18DA010_9700,P00018,2026-02-26,C,0.0
CONT_AWD_H9225723F0034_9700_H9240020D0042_9700:P00001,CONT_AWD_H9225723F0034_9700_H9240020D0042_9700,P00001,2023-03-02,B,-250000.0
CONT_AWD_H9240119C0007_9700_-NONE-_-NONE-:P00010,CONT_AWD_H9240119C0007_9700_-NONE-_-NONE-,P00010,2022-05-03,B,0.0
CONT_AWD_H9240318F0005_9700_H9240318D0002_9700:P00003,CONT_AWD_H9240318F0005_9700_H9240318D0002_9700,P00003,2025-04-03,C,-557598.36
CONT_AWD_H9240419F0235_9700_H9222218D0007_9700:P00007,CONT_AWD_H9240419F0235_9700_H9222218D0007_9700,P00007,2020-08-17,B,0.0
CONT_AWD_H9240419F0250_9700_GS35F0375V_4730:P00009,CONT_AWD_H9240419F0250_9700_GS35F0375V_4730,P00009,2024-01-17,B,-327219.67
CONT_AWD_H9240419F0282_9700_H9222218D0007_9700:P00003,CONT_AWD_H9240419F0282_9700_H9222218D0007_9700,P00003,2020-08-27,B,21318.35
CONT_AWD_H9240420F0153_9700_H9222218D0007_9700:P00029,CONT_AWD_H9240420F0153_9700_H9222218D0007_9700,P00029,2024-11-04,D,0.0
CONT_AWD_H9240420F0263_9700_NNG15SD00B_8000:P00002,CONT_AWD_H9240420F0263_9700_NNG15SD00B_8000,P00002,2020-09-30,M,-862885.51
CONT_AWD_H9240421C0009_9700_-NONE-_-NONE-:P00014,CONT_AWD_H9240421C0009_9700_-NONE-_-NONE-,P00014,2024-09-25,C,-129207.62
CONT_AWD_H9240421F0100_9700_H9222218D0007_9700:P00015,CONT_AWD_H9240421F0100_9700_H9222218D0007_9700,P00015,2023-02-14,D,0.0
CONT_AWD_H9240421F0135_9700_H9222218D0007_9700:P00008,CONT_AWD_H9240421F0135_9700_H9222218D0007_9700,P00008,2023-06-05,B,0.0
CONT_AWD_H9240422C0007_9700_-NONE-_-NONE-:P00003,CONT_AWD_H9240422C0007_9700_-NONE-_-NONE-,P00003,2025-03-24,G,750254.54
CONT_AWD_H9240522F0027_9700_H9222218D0007_9700:0,CONT_AWD_H9240522F0027_9700_H9222218D0007_9700,0,2022-06-07,,475897.15
CONT_AWD_H9240522F0027_9700_H9222218D0007_9700:P00002,CONT_AWD_H9240522F0027_9700_H9222218D0007_9700,P00002,2022-08-10,B,-113190.75
CONT_AWD_H9240522F0027_9700_H9222218D0007_9700:P00014,CONT_AWD_H9240522F0027_9700_H9222218D0007_9700,P00014,2023-05-31,D,-128099.31
CONT_AWD_H9240522F0027_9700_H9222218D0007_9700:P00024,CONT_AWD_H9240522F0027_9700_H9222218D0007_9700,P00024,2025-05-07,B,9733.1
CONT_AWD_H9240820F0006_9700_H9240318D0002_9700:0,CONT_AWD_H9240820F0006_9700_H9240318D0002_9700,0,2019-12-12,,1284621.0
CONT_AWD_H9240820F0006_9700_H9240318D0002_9700:P00003,CONT_AWD_H9240820F0006_9700_H9240318D0002_9700,P00003,2022-04-14,B,0.0
CONT_AWD_H9241523F0073_9700_H9222218D0007_9700:P00001,CONT_AWD_H9241523F0073_9700_H9222218D0007_9700,P00001,2023-06-29,D,-224956.42
CONT_AWD_H9241523F0073_9700_H9222218D0007_9700:P00003,CONT_AWD_H9241523F0073_9700_H9222218D0007_9700,P00003,2024-08-16,D,0.0
CONT_AWD_H9241524F0039_9700_H9240421D0001_9700:P00002,CONT_AWD_H9241524F0039_9700_H9240421D0001_9700,P00002,2024-07-07,B,215372.77
CONT_AWD_H9821013F0007_9700_GS06F0950Z_4732:P00007,CONT_AWD_H9821013F0007_9700_GS06F0950Z_4732,P00007,2019-02-22,K,-7895.68
CONT_AWD_H9821018C0024_9700_-NONE-_-NONE-:P00007,CONT_AWD_H9821018C0024_9700_-NONE-_-NONE-,P00007,2023-06-14,K,-9709.0
CONT_AWD_H9821018C0026_9700_-NONE-_-NONE-:P00004,CONT_AWD_H9821018C0026_9700_-NONE-_-NONE-,P00004,2020-12-15,K,-31001.44
CONT_AWD_H9821020F0240_9700_HHSN316201200009W_7529:P00010,CONT_AWD_H9821020F0240_9700_HHSN316201200009W_7529,P00010,2024-08-01,C,-233097.83
CONT_AWD_H9821021F0159_9700_H9821021D0001_9700:P00001,CONT_AWD_H9821021F0159_9700_H9821021D0001_9700,P00001,2022-02-15,B,0.0
CONT_AWD_H9821021F0159_9700_H9821021D0001_9700:P00002,CONT_AWD_H9821021F0159_9700_H9821021D0001_9700,P00002,2023-09-22,K,-0.02
CONT_AWD_H9821024CE008_9700_-NONE-_-NONE-:P00005,CONT_AWD_H9821024CE008_9700_-NONE-_-NONE-,P00005,2025-09-18,B,-2500000.0
CONT_AWD_HB000119C0006_9700_-NONE-_-NONE-:P00005,CONT_AWD_HB000119C0006_9700_-NONE-_-NONE-,P00005,2020-09-14,C,0.0
CONT_AWD_HB000120C0003_9700_-NONE-_-NONE-:P00004,CONT_AWD_HB000120C0003_9700_-NONE-_-NONE-,P00004,2021-05-18,C,0.0
CONT_AWD_HB000123C1012_9700_-NONE-_-NONE-:P00002,CONT_AWD_HB000123C1012_9700_-NONE-_-NONE-,P00002,2024-06-17,C,-435000.0
CONT_AWD_HC101305C2020_9700_-NONE-_-NONE-:P00020,CONT_AWD_HC101305C2020_9700_-NONE-_-NONE-,P00020,2024-07-30,K,-230037.33
CONT_AWD_HC101315F0001_9700_GS35F0308U_4730:P00030,CONT_AWD_HC101315F0001_9700_GS35F0308U_4730,P00030,2022-02-02,K,-69660.0
CONT_AWD_HC101316C0003_9700_-NONE-_-NONE-:P00018,CONT_AWD_HC101316C0003_9700_-NONE-_-NONE-,P00018,2018-12-19,B,-573507.05
CONT_AWD_HC101316C0003_9700_-NONE-_-NONE-:P00019,CONT_AWD_HC101316C0003_9700_-NONE-_-NONE-,P00019,2025-04-15,K,-344485.12
CONT_AWD_HC101316F0006_9700_GS35F0308U_4730:P00016,CONT_AWD_HC101316F0006_9700_GS35F0308U_4730,P00016,2021-04-30,K,-0.01
CONT_AWD_HC101316F0014_9700_GS35F5151H_4730:P00015,CONT_AWD_HC101316F0014_9700_GS35F5151H_4730,P00015,2021-08-17,K,-47500.0
CONT_AWD_HC101317F5002_9700_HC104712D4015_9700:P00004,CONT_AWD_HC101317F5002_9700_HC104712D4015_9700,P00004,2024-09-26,K,-1457.13
CONT_AWD_HC101318C8002_9700_-NONE-_-NONE-:P00022,CONT_AWD_HC101318C8002_9700_-NONE-_-NONE-,P00022,2021-11-16,C,-358650.16
CONT_AWD_HC101318C8002_9700_-NONE-_-NONE-:P00036,CONT_AWD_HC101318C8002_9700_-NONE-_-NONE-,P00036,2023-07-31,M,0.0
CONT_AWD_HC101318F0057_9700_GS35F0478U_4730:P00014,CONT_AWD_HC101318F0057_9700_GS35F0478U_4730,P00014,2023-03-02,C,-298612.92
CONT_AWD_HC101320F0227_9700_HC101319D0003_9700:P00018,CONT_AWD_HC101320F0227_9700_HC101319D0003_9700,P00018,2025-05-20,C,-314805.85
CONT_AWD_HC101320F0227_9700_HC101319D0003_9700:P00020,CONT_AWD_HC101320F0227_9700_HC101319D0003_9700,P00020,2025-09-29,M,-182591.14
CONT_AWD_HC101323F0128_9700_HC101322A0004_9700:P00001,CONT_AWD_HC101323F0128_9700_HC101322A0004_9700,P00001,2024-09-11,K,-0.08
CONT_AWD_HC101324F0147_9700_47QTCB22D0420_4732:P00029,CONT_AWD_HC101324F0147_9700_47QTCB22D0420_4732,P00029,2025-09-05,C,-1121770.57
CONT_AWD_HC101917C0002_9700_-NONE-_-NONE-:P00008,CONT_AWD_HC101917C0002_9700_-NONE-_-NONE-,P00008,2024-10-09,K,-64907.41
CONT_AWD_HC101917C0021_9700_-NONE-_-NONE-:P00002,CONT_AWD_HC101917C0021_9700_-NONE-_-NONE-,P00002,2020-08-25,K,-160818.58
CONT_AWD_HC101918C0003_9700_-NONE-_-NONE-:P00021,CONT_AWD_HC101918C0003_9700_-NONE-_-NONE-,P00021,2024-08-09,K,-1.8
CONT_AWD_HC101919F0009_9700_GS06F0759Z_4732:P00009,CONT_AWD_HC101919F0009_9700_GS06F0759Z_4732,P00009,2025-07-09,K,-429297.73
CONT_AWD_HC101922C0014_9700_-NONE-_-NONE-:P00001,CONT_AWD_HC101922C0014_9700_-NONE-_-NONE-,P00001,2025-03-19,K,-20421.56
CONT_AWD_HC102810F2031_9700_GS35F0777J_4730:P00029,CONT_AWD_HC102810F2031_9700_GS35F0777J_4730,P00029,2020-09-17,K,-1995.62
CONT_AWD_HC102811F0179_9700_GS35F4483G_4730:P00015,CONT_AWD_HC102811F0179_9700_GS35F4483G_4730,P00015,2021-06-25,K,-11346.38
CONT_AWD_HC102811F0596_9700_GS06F0203Z_4730:P00007,CONT_AWD_HC102811F0596_9700_GS06F0203Z_4730,P00007,2021-04-06,K,-28359.2
CONT_AWD_HC102813F0189_9700_GS35F0495K_4730:P00024,CONT_AWD_HC102813F0189_9700_GS35F0495K_4730,P00024,2019-05-06,K,-2537.3
CONT_AWD_HC102813F0336_9700_NNG07DA19B_8000:P00011,CONT_AWD_HC102813F0336_9700_NNG07DA19B_8000,P00011,2019-01-02,K,-17250.0
CONT_AWD_HC102814C0018_9700_-NONE-_-NONE-:P00013,CONT_AWD_HC102814C0018_9700_-NONE-_-NONE-,P00013,2019-02-19,C,-118928.01
CONT_AWD_HC102814C0018_9700_-NONE-_-NONE-:P00014,CONT_AWD_HC102814C0018_9700_-NONE-_-NONE-,P00014,2019-09-30,C,-257418.84
CONT_AWD_HC102814C0018_9700_-NONE-_-NONE-:P00015,CONT_AWD_HC102814C0018_9700_-NONE-_-NONE-,P00015,2020-09-25,K,-0.02
CONT_AWD_HC102814F0366_9700_GS35F0398V_4730:P00013,CONT_AWD_HC102814F0366_9700_GS35F0398V_4730,P00013,2019-06-11,K,-62432.58
CONT_AWD_HC102815F0001_9700_GS35F0156V_4730:P00016,CONT_AWD_HC102815F0001_9700_GS35F0156V_4730,P00016,2020-02-19,C,-187613.35
CONT_AWD_HC102815F0001_9700_GS35F0156V_4730:P00017,CONT_AWD_HC102815F0001_9700_GS35F0156V_4730,P00017,2022-01-31,K,-303613.17
CONT_AWD_HC102815F0003_9700_GS06F0637Z_4730:P00029,CONT_AWD_HC102815F0003_9700_GS06F0637Z_4730,P00029,2020-04-29,K,-10000.0
CONT_AWD_HC102815F0033_9700_GS06F0673Z_4732:P00025,CONT_AWD_HC102815F0033_9700_GS06F0673Z_4732,P00025,2020-05-04,K,-0.05
CONT_AWD_HC102815F0469_9700_GS06F0718Z_4732:P00005,CONT_AWD_HC102815F0469_9700_GS06F0718Z_4732,P00005,2019-07-17,K,-4936.0
CONT_AWD_HC102816C0006_9700_-NONE-_-NONE-:P00018,CONT_AWD_HC102816C0006_9700_-NONE-_-NONE-,P00018,2020-08-03,C,-357150.36
CONT_AWD_HC102816C0006_9700_-NONE-_-NONE-:P00023,CONT_AWD_HC102816C0006_9700_-NONE-_-NONE-,P00023,2021-04-29,C,-182765.0
CONT_AWD_HC102816F0108_9700_GS35F0272J_4730:P00028,CONT_AWD_HC102816F0108_9700_GS35F0272J_4730,P00028,2022-09-06,K,-19172.32
CONT_AWD_HC102816F0625_9700_NNG15SC96B_8000:P00001,CONT_AWD_HC102816F0625_9700_NNG15SC96B_8000,P00001,2019-07-25,K,-48282.33
CONT_AWD_HC102816F0767_9700_GS35F0011K_4730:P00008,CONT_AWD_HC102816F0767_9700_GS35F0011K_4730,P00008,2021-03-02,K,-1734.48
CONT_AWD_HC102816F0953_9700_NNG15SC73B_8000:P00002,CONT_AWD_HC102816F0953_9700_NNG15SC73B_8000,P00002,2019-10-08,K,-31738.67
CONT_AWD_HC102816F0972_9700_GS06F0783Z_4732:P00004,CONT_AWD_HC102816F0972_9700_GS06F0783Z_4732,P00004,2019-02-12,K,-3525.98
CONT_AWD_HC102816P0272_9700_-NONE-_-NONE-:P00012,CONT_AWD_HC102816P0272_9700_-NONE-_-NONE-,P00012,2019-05-23,K,-62996.97
CONT_AWD_HC102817F0070_9700_GS35F0450X_4732:P00017,CONT_AWD_HC102817F0070_9700_GS35F0450X_4732,P00017,2022-09-30,K,-161210.38
CONT_AWD_HC102817F0137_9700_NNG15SC59B_8000:P00003,CONT_AWD_HC102817F0137_9700_NNG15SC59B_8000,P00003,2020-01-13,K,-0.04
CONT_AWD_HC102817F0181_9700_GS06F1036Z_4732:P00008,CONT_AWD_HC102817F0181_9700_GS06F1036Z_4732,P00008,2020-04-14,K,-83200.0
CONT_AWD_HC102817F0351_9700_GS06F1032Z_4732:P00006,CONT_AWD_HC102817F0351_9700_GS06F1032Z_4732,P00006,2020-01-08,K,-0.03
CONT_AWD_HC102817F0387_9700_NNG15SC90B_8000:P00006,CONT_AWD_HC102817F0387_9700_NNG15SC90B_8000,P00006,2019-04-15,M,-429812.1
CONT_AWD_HC102817F0387_9700_NNG15SC90B_8000:P00007,CONT_AWD_HC102817F0387_9700_NNG15SC90B_8000,P00007,2020-09-01,C,-349590.71
CONT_AWD_HC102817F0617_9700_HC102817D0001_9700:P00013,CONT_AWD_HC102817F0617_9700_HC102817D0001_9700,P00013,2024-04-10,K,-7387.09
CONT_AWD_HC102817F0666_9700_HC102817D0001_9700:P00006,CONT_AWD_HC102817F0666_9700_HC102817D0001_9700,P00006,2019-04-23,K,-52670.76
CONT_AWD_HC102817F1229_9700_HC102813D0002_9700:P00006,CONT_AWD_HC102817F1229_9700_HC102813D0002_9700,P00006,2019-03-07,M,-122533.28
CONT_AWD_HC102817F1408_9700_HC102817D0001_9700:P00005,CONT_AWD_HC102817F1408_9700_HC102817D0001_9700,P00005,2019-04-09,C,12209577.3
CONT_AWD_HC102817F1408_9700_HC102817D0001_9700:P00018,CONT_AWD_HC102817F1408_9700_HC102817D0001_9700,P00018,2020-09-23,C,-1291158.68
CONT_AWD_HC102817F1408_9700_HC102817D0001_9700:P00022,CONT_AWD_HC102817F1408_9700_HC102817D0001_9700,P00022,2021-04-27,C,-2592533.91
CONT_AWD_HC102817F1408_9700_HC102817D0001_9700:P00030,CONT_AWD_HC102817F1408_9700_HC102817D0001_9700,P00030,2022-03-16,C,8286517.65
CONT_AWD_HC102817F1408_9700_HC102817D0001_9700:P00031,CONT_AWD_HC102817F1408_9700_HC102817D0001_9700,P00031,2022-11-28,M,-485586.59
CONT_AWD_HC102817F1408_9700_HC102817D0001_9700:P00032,CONT_AWD_HC102817F1408_9700_HC102817D0001_9700,P00032,2024-03-19,M,-287150.03
CONT_AWD_HC102817F1430_9700_NNG15SC41B_8000:P00001,CONT_AWD_HC102817F1430_9700_NNG15SC41B_8000,P00001,2019-04-10,K,-1285.64
CONT_AWD_HC102817F1495_9700_NNG15SD82B_8000:P00004,CONT_AWD_HC102817F1495_9700_NNG15SD82B_8000,P00004,2021-04-21,K,-3.03
CONT_AWD_HC102817F1580_9700_NNG15SD30B_8000:P00005,CONT_AWD_HC102817F1580_9700_NNG15SD30B_8000,P00005,2019-01-14,M,-395447.8
CONT_AWD_HC102817P0187_9700_-NONE-_-NONE-:P00003,CONT_AWD_HC102817P0187_9700_-NONE-_-NONE-,P00003,2019-02-06,K,-69180.8
CONT_AWD_HC102818F0001_9700_GS35F077GA_4732:P00023,CONT_AWD_HC102818F0001_9700_GS35F077GA_4732,P00023,2023-09-18,K,-108463.45
CONT_AWD_HC102818F0462_9700_HC102817A0010_9700:P00026,CONT_AWD_HC102818F0462_9700_HC102817A0010_9700,P00026,2024-11-21,K,-83276.72
CONT_AWD_HC102818F0597_9700_HC102817A0010_9700:P00027,CONT_AWD_HC102818F0597_9700_HC102817A0010_9700,P00027,2024-06-11,K,-160212.44
CONT_AWD_HC102818F0720_9700_HC102817D0001_9700:P00020,CONT_AWD_HC102818F0720_9700_HC102817D0001_9700,P00020,2022-09-02,C,-21249.96
CONT_AWD_HC102818F0748_9700_HC102817A0013_9700:P00003,CONT_AWD_HC102818F0748_9700_HC102817A0013_9700,P00003,2020-09-15,C,-111604.05
CONT_AWD_HC102818F0960_9700_NNG15SD41B_8000:P00005,CONT_AWD_HC102818F0960_9700_NNG15SD41B_8000,P00005,2021-04-23,D,-452402.59
CONT_AWD_HC102818F0960_9700_NNG15SD41B_8000:P00006,CONT_AWD_HC102818F0960_9700_NNG15SD41B_8000,P00006,2022-06-08,K,-61520.74
CONT_AWD_HC102818F1062_9700_HC102817A0013_9700:P00003,CONT_AWD_HC102818F1062_9700_HC102817A0013_9700,P00003,2022-11-30,K,-268.13
CONT_AWD_HC102818F1163_9700_NNG15SD81B_8000:P00002,CONT_AWD_HC102818F1163_9700_NNG15SD81B_8000,P00002,2019-09-07,B,-115827.04
CONT_AWD_HC102818F1421_9700_NNG15SC45B_8000:P00002,CONT_AWD_HC102818F1421_9700_NNG15SC45B_8000,P00002,2021-12-27,K,-0.02
CONT_AWD_HC102818F1471_9700_GS06F0625Z_4730:P00020,CONT_AWD_HC102818F1471_9700_GS06F0625Z_4730,P00020,2020-07-30,C,-136075.44
CONT_AWD_HC102818F1512_9700_HC102817D0001_9700:P00006,CONT_AWD_HC102818F1512_9700_HC102817D0001_9700,P00006,2024-05-15,K,-20000.0
CONT_AWD_HC102818F1569_9700_GS35F304CA_4732:P00010,CONT_AWD_HC102818F1569_9700_GS35F304CA_4732,P00010,2023-01-25,K,-101592.14
CONT_AWD_HC102818F1692_9700_HC102817D0001_9700:P00001,CONT_AWD_HC102818F1692_9700_HC102817D0001_9700,P00001,2018-11-30,M,0.0
CONT_AWD_HC102818F1692_9700_HC102817D0001_9700:P00012,CONT_AWD_HC102818F1692_9700_HC102817D0001_9700,P00012,2022-09-08,B,2617024.0
CONT_AWD_HC102818F1692_9700_HC102817D0001_9700:P00013,CONT_AWD_HC102818F1692_9700_HC102817D0001_9700,P00013,2023-04-26,B,1470220.36
CONT_AWD_HC102818F1829_9700_HC102817D0001_9700:P00001,CONT_AWD_HC102818F1829_9700_HC102817D0001_9700,P00001,2018-10-31,M,0.0
CONT_AWD_HC102818F1829_9700_HC102817D0001_9700:P00006,CONT_AWD_HC102818F1829_9700_HC102817D0001_9700,P00006,2022-09-21,B,350602.0
CONT_AWD_HC102818F1829_9700_HC102817D0001_9700:P00008,CONT_AWD_HC102818F1829_9700_HC102817D0001_9700,P00008,2024-02-13,K,-6987.1
CONT_AWD_HC102818P0006_9700_-NONE-_-NONE-:P00004,CONT_AWD_HC102818P0006_9700_-NONE-_-NONE-,P00004,2021-03-31,K,-46369.64
CONT_AWD_HC102818P0049_9700_-NONE-_-NONE-:P00002,CONT_AWD_HC102818P0049_9700_-NONE-_-NONE-,P00002,2019-05-21,K,-0.02
CONT_AWD_HC102818P0090_9700_-NONE-_-NONE-:P00009,CONT_AWD_HC102818P0090_9700_-NONE-_-NONE-,P00009,2023-12-14,K,-24906.05
CONT_AWD_HC102818P0100_9700_-NONE-_-NONE-:P00005,CONT_AWD_HC102818P0100_9700_-NONE-_-NONE-,P00005,2019-09-16,K,-12433.33
CONT_AWD_HC102819C0014_9700_-NONE-_-NONE-:P00016,CONT_AWD_HC102819C0014_9700_-NONE-_-NONE-,P00016,2022-10-18,K,-754041.6
CONT_AWD_HC102819F0003_9700_HC102817D0001_9700:P00003,CONT_AWD_HC102819F0003_9700_HC102817D0001_9700,P00003,2020-11-25,K,-193086.66
CONT_AWD_HC102819F0025_9700_GS35F398CA_4732:P00034,CONT_AWD_HC102819F0025_9700_GS35F398CA_4732,P00034,2024-12-23,C,-242882.35
CONT_AWD_HC102819F0030_9700_NNG15SC85B_8000:P00002,CONT_AWD_HC102819F0030_9700_NNG15SC85B_8000,P00002,2021-05-06,K,-47999.5
CONT_AWD_HC102819F0138_9700_GS35F515BA_4732:P00001,CONT_AWD_HC102819F0138_9700_GS35F515BA_4732,P00001,2019-09-20,F,-16666.67
CONT_AWD_HC102819F0138_9700_GS35F515BA_4732:P00003,CONT_AWD_HC102819F0138_9700_GS35F515BA_4732,P00003,2021-07-27,F,-2686212.93
CONT_AWD_HC102819F0180_9700_HHSN316201200041W_7529:P00011,CONT_AWD_HC102819F0180_9700_HHSN316201200041W_7529,P00011,2020-03-03,C,-865525.67
CONT_AWD_HC102819F0180_9700_HHSN316201200041W_7529:P00034,CONT_AWD_HC102819F0180_9700_HHSN316201200041W_7529,P00034,2021-05-20,C,-510946.06
CONT_AWD_HC102819F0180_9700_HHSN316201200041W_7529:P00048,CONT_AWD_HC102819F0180_9700_HHSN316201200041W_7529,P00048,2022-04-06,C,-122350.13
CONT_AWD_HC102819F0180_9700_HHSN316201200041W_7529:P00049,CONT_AWD_HC102819F0180_9700_HHSN316201200041W_7529,P00049,2022-04-15,C,-225000.0
CONT_AWD_HC102819F0180_9700_HHSN316201200041W_7529:P00092,CONT_AWD_HC102819F0180_9700_HHSN316201200041W_7529,P00092,2024-09-11,C,-120390.37
CONT_AWD_HC102819F0296_9700_GS35F515BA_4732:P00006,CONT_AWD_HC102819F0296_9700_GS35F515BA_4732,P00006,2020-08-07,C,-1693458.64
CONT_AWD_HC102819F0296_9700_GS35F515BA_4732:P00008,CONT_AWD_HC102819F0296_9700_GS35F515BA_4732,P00008,2021-02-18,C,-491664.75
CONT_AWD_HC102819F0296_9700_GS35F515BA_4732:P00014,CONT_AWD_HC102819F0296_9700_GS35F515BA_4732,P00014,2022-11-03,K,-260293.53
CONT_AWD_HC102819F0309_9700_HC102818D0046_9700:P00004,CONT_AWD_HC102819F0309_9700_HC102818D0046_9700,P00004,2020-09-03,K,-160.11
CONT_AWD_HC102819F0337_9700_GS00Q17GWD2143_4732:P00014,CONT_AWD_HC102819F0337_9700_GS00Q17GWD2143_4732,P00014,2024-08-14,K,-25000.0
CONT_AWD_HC102819F0429_9700_HHSN316201200115W_7529:P00002,CONT_AWD_HC102819F0429_9700_HHSN316201200115W_7529,P00002,2019-07-09,B,-4248495.96
CONT_AWD_HC102819F0429_9700_HHSN316201200115W_7529:P00026,CONT_AWD_HC102819F0429_9700_HHSN316201200115W_7529,P00026,2022-09-30,B,-556885.7
CONT_AWD_HC102819F0480_9700_GS35F419GA_4732:P00012,CONT_AWD_HC102819F0480_9700_GS35F419GA_4732,P00012,2022-06-23,B,-138975.88
CONT_AWD_HC102819F0480_9700_GS35F419GA_4732:P00015,CONT_AWD_HC102819F0480_9700_GS35F419GA_4732,P00015,2024-03-14,K,-264345.03
CONT_AWD_HC102819F0483_9700_HC102817D0001_9700:P00032,CONT_AWD_HC102819F0483_9700_HC102817D0001_9700,P00032,2024-06-27,C,0.0
CONT_AWD_HC102819F0558_9700_NNG15SC82B_8000:P00001,CONT_AWD_HC102819F0558_9700_NNG15SC82B_8000,P00001,2020-03-20,K,-0.01
CONT_AWD_HC102819F0653_9700_GS35F419CA_4732:P00012,CONT_AWD_HC102819F0653_9700_GS35F419CA_4732,P00012,2020-12-21,M,-418101.3
CONT_AWD_HC102819F0653_9700_GS35F419CA_4732:P00020,CONT_AWD_HC102819F0653_9700_GS35F419CA_4732,P00020,2021-08-27,C,-307000.0
CONT_AWD_HC102819F0653_9700_GS35F419CA_4732:P00059,CONT_AWD_HC102819F0653_9700_GS35F419CA_4732,P00059,2025-07-28,C,-199280.15
CONT_AWD_HC102819F0653_9700_GS35F419CA_4732:P00060,CONT_AWD_HC102819F0653_9700_GS35F419CA_4732,P00060,2025-08-22,C,-623202.19
CONT_AWD_HC102819F0660_9700_HC102816D0007_9700:P00006,CONT_AWD_HC102819F0660_9700_HC102816D0007_9700,P00006,2022-02-10,D,-133963.56
CONT_AWD_HC102819F0687_9700_HHSN316201200051W_7529:P00059,CONT_AWD_HC102819F0687_9700_HHSN316201200051W_7529,P00059,2023-09-27,C,-1439515.52
CONT_AWD_HC102819F0687_9700_HHSN316201200051W_7529:P00071,CONT_AWD_HC102819F0687_9700_HHSN316201200051W_7529,P00071,2024-07-22,C,-1789120.4
CONT_AWD_HC102819F0687_9700_HHSN316201200051W_7529:P00072,CONT_AWD_HC102819F0687_9700_HHSN316201200051W_7529,P00072,2024-08-21,C,-3238618.37
CONT_AWD_HC102819F0792_9700_HC102819A0002_9700:P00020,CONT_AWD_HC102819F0792_9700_HC102819A0002_9700,P00020,2024-07-29,B,0.0
CONT_AWD_HC102819F0820_9700_HC102819A0001_9700:P00006,CONT_AWD_HC102819F0820_9700_HC102819A0001_9700,P00006,2022-01-11,B,-36310.37
CONT_AWD_HC102819F0820_9700_HC102819A0001_9700:P00007,CONT_AWD_HC102819F0820_9700_HC102819A0001_9700,P00007,2023-01-12,K,-3346.09
CONT_AWD_HC102819F0847_9700_HC102817D0006_9700:P00003,CONT_AWD_HC102819F0847_9700_HC102817D0006_9700,P00003,2024-08-13,K,-9.99
CONT_AWD_HC102819F0886_9700_NNG15SC85B_8000:P00003,CONT_AWD_HC102819F0886_9700_NNG15SC85B_8000,P00003,2020-06-10,G,-9399897.36
CONT_AWD_HC102819F0913_9700_HC102819D0002_9700:P00001,CONT_AWD_HC102819F0913_9700_HC102819D0002_9700,P00001,2020-08-19,M,0.0
